【1】  ★団体名（ 法人格がある場合は、省略せず正式名称を記載してください）,【2】  団体名のふりがな（法人格を除く法人名のふりがなをご記入ください）,【3】  連絡担当者氏名（ふりがな）,【4ｰ1】  ★連絡先メールアドレス①,【4ｰ2】 連絡先メールアドレス②,【4‐3】  連絡先メールアドレス③,【5】連絡先電話番号,【6】配布物・請求書（協賛）等送付先住所,【7】  ★団体ホームページURL,【8】★活動内容（80～100文字）,【9】★主な活動場所（最大50文字）,【10】★主な活動日（最大50文字）,【11】★ 団体ができることや求めていること、まちカフェ！で実施する催しなどのPRを自由にご記載ください（掲載スペース50文字）,【12】  これまでにまちカフェ！実行委員会に参加したことがありますか？（冊子掲載のみも含む）,【13】  参加形態の意向を教えてください（複数選択可）。,【14】上記【13】で5．を選択した方、まちカフェ！にご協賛いただける口数をお知らせください　,【15】上記【13】で5．を選択した方、協賛金請求書の送付方法を選択してください。,【16】  他にもまちカフェ！にご協力いただける場合は、お知らせください,【17】まちカフェ！を通じて＜達成したいこと＞を教えてください（複数回答可）。,【19】その他ご意見、ご質問等があればお書きください。,【18】  参加予定の実行委員会会議をお知らせください。
スヌーズレンブラックライトルームを普及する会,すぬーずれんぶらっくらいとるーむをふきゅうするかい,,,,,,,https://www.kokoro-nagomu.com/,スヌーズレンブラックライトルームは障がいを持つお子さんと保護者が一緒に遊びながら五感を刺激する非日常空間です。,都内近郊でのイベント開催,不定期,ブラックライトで発光するアートやおもちゃで楽しく遊べるイベント空間を提供します。,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"団体の活動や取り組む社会課題についての周知ができる, 行政や他団体・個人などと新しいつながりができる",,
手話べり場Ｓ,しゅわべりばえす,,,,,,,あるけど、機能していないので「なし」,"手話は習っても忘れます。そこで、練習する場所をやっています。サークルのように、会費や役割分担などもなく、本名をお聞きすることもなく、スケジュールを見てもらって、来ることができる日の好きな時間に来てください
好きな時間にお帰りになって構いません
どうぞ、1度遊びにいらしてください
目標は「手話を公用語にしたい」です
よろしくお願いします",スターバックス町田パリオ店、東急ウエスト、わくわくプラザ,第1.2.3.5土曜日10:00-12:00第1.3土曜日13:00-15:00第4木曜日10:00-12:00・13:00-15:00,"とにかく手話を広めたい！楽しい事だとわかって欲しい
簡単な手話ができるだけでも、構いません
みんなで楽しく練習しましょう",2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"会員やメンバーなどが増える, 団体の活動や取り組む社会課題についての周知ができる, 行政や他団体・個人などと新しいつながりができる",少し間があきましたが、頑張りますので、よろしくお願いします,
⼀般社団法⼈ デイレクトフォース 相模の国俱楽部,いっしゃ　でぃれくとふおーす　さがみのくにくらぶ,,,,,,,https://directforce.net,地域社会への関係づくりを通し、”⼦供たちから地場産業まで”の地域‧社会貢献を⾏う【地域デザイン】創りに取り組んでいます。「企業経営者のニーズに応える伴⾛⽀援（⽀援活動）」を柱に貢献活動を⾏っています。,SDGs相模原市認定団体として各イベント（相模原市役所「桜まつり」、青山学院大学「SDGs EXPO」、アリオ橋本「はてなフェス」等）,随時（各イベント参加に向け会合等）,"仲間とワイワイと楽しく過ごし、
ささやかなボランティア社会貢献やベンチャー支援、仕事の種を探してみたい",初参加（参加に際し、事務局と30分程度の簡単な顔合わせをお願いしています。オンライン・対面どちらでも大丈夫です。お申込み後、詳細を事務局よりご連絡させていただきます）,"1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）, 5．協賛団体・個人として参加（下記問14・15に回答ください）",企業・団体１口,【6】  配布物・請求書（協賛）等送付先住所宛てに郵送,,"会員やメンバーなどが増える, 学生と活動する, 団体の活動や取り組む社会課題についての周知ができる, メンバー同士のコミュケーションが深まる, 新しい取り組みに挑戦する, 行政や他団体・個人などと新しいつながりができる",,
個人A,まちカフェ！撮影おうえん隊,,,,,,,Facebook.com/Saiji.kuniyasu  MAB:https://www.m-simin-hall.jp/artist/nappye/,「まちだの魅力活力活性おうえん」のキャッチコピーのもと、主としてJCI_Machida（まちだ青年会議所）さま公認の撮影＆拡散応援活動、またMAB（まちだアーティストバンク）ではアーティスト登録者として経費節減を目的の記念撮影を応援し、ご希望により撮影JPEGデータをプレゼントするなど後世に渡る利用財産となるよう願いつつ親しい仲間関係も築けることを念願しております気軽にお声がけください。,おもに、市内の徒歩圏内を指定や情報いただきますと出向きます,都度、打合せにより活動します,「まちだの魅力活力活性」の目的に準じるイベント活動を写真で将来てきな利用価値の保存をする活動,2回以上参加している,"2．協働ガイドブック掲載のみで参加（まちカフェ！期間中のイベント実施なし）, 3．まちカフェ！おうえん隊（個人ボランティア）として全体企画の実施や運営支援をする, 4．ワンデイおうえん隊（１日から数日の個人ボランティアとして参加）※登録した方には、実行委員会やボランティア募集のメールをお送りするのでご都合ご関心にあわせてご参加ください）",,,,"学生と活動する, メンバー同士のコミュケーションが深まる, 行政や他団体・個人などと新しいつながりができる, 声をかけたら気軽に撮影してくれるイメージを深めたい",撮影おうえん隊に今年も参加希望していますが、78歳エネルギースロットル満開で頑張るつもりです、若人の負担にならないように・・。20Th記念開催にもっと違う撮影が出来たらいいな～・・などと空想しています。みなさん、よろしくお願いします。,
like minds,らいくまいんず,,,,,,,,聴くと話すを分ける対話の場づくり支援 障がいのある無しに関わらず支援し合う関係性を考える,三輪住宅会館,不定期,障がい者の自立支援、誰もが可能性を支え合う場,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"会員やメンバーなどが増える, 学生と活動する, 団体の活動や取り組む社会課題についての周知ができる, 新しい取り組みに挑戦する",,
個人B,おうえんたい,,,,,,,,他団体さんのイベントに遊びに行ったり参加したりそこでお会いした方と連絡先交換して、交流しています。実際にイベントのお手伝いやお客さんとして参加してます。又、オープンデーは都合が合えば足を運んでいます。オープンデーで新たな方とお会いして視野も広がりました。私は今月から社会人になり、頻度は減りますが地域活動及びまちカフェ！は私の生きがいです。私とお会いした方は是非声をかけていただけると嬉しいです。,町田市民フォーラム,不定期,,2回以上参加している,"3．まちカフェ！おうえん隊（個人ボランティア）として全体企画の実施や運営支援をする, 4．ワンデイおうえん隊（１日から数日の個人ボランティアとして参加）※登録した方には、実行委員会やボランティア募集のメールをお送りするのでご都合ご関心にあわせてご参加ください）",,【4-1】連絡先メールアドレス宛てにメールに添付　※設問が4.を選択で回答,,"会員やメンバーなどが増える, 学生と活動する, 団体の活動や取り組む社会課題についての周知ができる, 広報、企画立案、SNS・ITツールのスキルアップ, メンバー同士のコミュケーションが深まる, 新しい取り組みに挑戦する, 行政や他団体・個人などと新しいつながりができる, 団体の活動資金を得る（物販の売り上げやイベントの参加費など）",,
"〜小児がん支援チャリティー活動〜
MICO LEMONADE",しょうにがんしえんちゃりてぃーかつどうみこれもねーど,,,,,,,https://www.instagram.com/mico_lemonade?igsh=YWNqMXpncW9tN2tz&utm_source=qr,国産レモンの手作りレモネードの提供を通して小児がんの子供たちを応援するチャリティー活動です。売り上げ、募金は小児がん研究や闘病児の未来のために寄付いたします。,町田を中心とする東京、神奈川,不定期,小児がん支援のためのレモネード（HOT・COLD・ソーダ）を販売します。出店情報はインスタにて発信中,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"会員やメンバーなどが増える, 学生と活動する, 団体の活動や取り組む社会課題についての周知ができる, 広報、企画立案、SNS・ITツールのスキルアップ, メンバー同士のコミュケーションが深まる, 新しい取り組みに挑戦する, 行政や他団体・個人などと新しいつながりができる, 団体の活動資金を得る（物販の売り上げやイベントの参加費など）",,
"任意団体みんなの居場所ぬくぬく
(一般社団法人になるかもです)",みんなのいばしよぬくぬく,,,,,,,https://www.instagram.com/nukunuku.machida.ibasyo,上小山田町の一軒家で住み開きをし、居場所、みんなの食堂、相談事業を行っています。,住み開きしている一階のスペース,不定期/居場所:1回/月、みんなの食堂:1回/月,"【出来る事】
出前講座、相談が出来ます。他団体との連携・協働出来ます。
【求めています】
寄付金、ボランティアさん募集中です。
【催し物PR】
町田の情報ギルドとしてお悩み相談とお悩みにマッチングした団体を紹介します。",2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"会員やメンバーなどが増える, 団体の活動や取り組む社会課題についての周知ができる, 行政や他団体・個人などと新しいつながりができる",今年は自分の団体をPRするだけではなくて、必要な人に必要な団体を伝えるお手伝いをしたいなと思います。,
清住平Wind Music,きよすみだい ういんど みゅーじっく,,,,,,,"https://www.instagram.com/kiyosumidai_wind_music
www.youtube.com/@kiyosumidai.windmusic","小山田で結成されたご近所さんバンド。音楽を通して、地域交流しています。練習は月2回程度。お祭りや施設のイベントで演奏しています。
『OYAMADA JOYFUL FESTIVAL-おやまだじょいふるフェス-』主催。",練習場所：町田福祉園　体育館,月2回程度　日曜日　10時～16時,まちカフェ！会場を音楽とトーク？で盛り上げます,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,行政や他団体・個人などと新しいつながりができる,,
NPO法人 キーアセット東京町田,きーあせっと　とうきょうまちだ,,,,,,,https://machidafostering-kiiasetto.jp/,里親制度の普及啓発や里親家庭の支援、巣立った子どもたちの自立支援など、里親養育に関して包括的な支援を行っています。,町田児童相談所管内,平日　９時～１９時,「里親制度」に関する説明会、出前講座、専門相談を行います。他団体との連携、協働も進めています！,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"団体の活動や取り組む社会課題についての周知ができる, 行政や他団体・個人などと新しいつながりができる",,
